Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.05164141414141414,FAILURE,0.012574031032044072,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464171.358,
0.049900990099009904,SUCCESS,0.012104140528150963,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463421.686,
0.04776758409785933,FAILURE,0.015028852726293899,TRI_PRISM,LARGE,RIGID,FREE,TOP,CENTER,1785493370.414,
0.04641927083333333,FAILURE,0.00883309749037165,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492574.761,
0.04214480874316939,SUCCESS,0.01192354672257783,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,FAR,1785480674.488,
0.0418010752688172,FAILURE,0.008603685452786392,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492700.616,
0.0416323731138546,FAILURE,0.008496183856863258,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CLOSE,1785483164.941,
0.03962264150943397,FAILURE,0.007742829016970915,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,FAR,1785499147.169,
0.03847874720357942,FAILURE,0.009414029088885478,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486792.118,
0.03166666666666666,FAILURE,0.010307544477261288,PLANE,LARGE,COMPLIANT,STRING,FRONT,FAR,1785547093.071,
0.029518072289156625,FAILURE,0.007167710285096919,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785478083.962,
0.029132231404958676,FAILURE,0.009635586100040146,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487405.100,
0.02899921197793538,FAILURE,0.009267635807070919,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491873.864,
0.028614232209737824,FAILURE,0.006195030196066859,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499381.803,
0.02837301587301587,FAILURE,0.01208640217160426,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785460444.250,
0.027922077922077924,FAILURE,0.006433672168886553,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499441.484,
0.027467811158798285,FAILURE,0.0077542320190717925,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494099.638,
0.027307398932112887,FAILURE,0.005437348123625864,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498142.175,
0.025603864734299518,FAILURE,0.006066392824906714,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482632.028,
